,komoditas,berat
671,"['lele', 'nila', 'kembung', 'mas']",3   3   3  3  
672,"['mas', 'lele']",2   2  
673,"['kembung', 'lele', 'kakap']",3   3   2  
674,"['lele', 'nila', 'kembung']",3   3   3 
675,"['kembung', 'nila', 'lele']",3   3   3  
676,"['lele', 'nila', 'mas', 'kembung', 'tongkol']",2   2   2   2  3  
677,"['tongkol', 'nila']",2    2  
678,"['nila', 'tongkol']",3   3  
679,"['lele', 'tongkol', 'nila']",2   2   2  
680,"['nila', 'tongkol', 'kakap']",2   2   1  
681,"['kakap', 'lele', 'kembung', 'nila']",2   3   3   2  
682,"['kakap', 'nila', 'kembung', 'tongkol']",2   3    3   3  
683,"['lele', 'nila']",3   3  
684,"['lele', 'kembung', 'nila']",3   3   3  
685,"['tongkol', 'kembung']",3   3  
686,"['gurame', 'nila', 'mas']",5   6   6  
687,"['lele', 'kembung', 'kakap']",3   3   2  
688,"['mas', 'lele']",2-3
689,"['lele', 'mas', 'nila', 'merah']",2
690,"['mas', 'lele', 'bawal']",1-2
691,"['mas', 'mujair']",1 5  
692,"['mas', 'nila']",masing-masing 1  
693,"['mas', 'lele']",1/2 
694,"['mas', 'bawal', 'lele']",3
695,"['mas', 'lele']",1 
696,"['mas', 'nila', 'merah', 'gurame']",1-2
697,"['mas', 'lele', 'nila', 'bawal']",5
698,['lele'],3  
699,"['mas', 'lele']",1-1 5
700,['lele'],2-3
701,"['mas', 'lele', 'mujair']",1 1/2
702,['lele'],3
703,"['mas', 'lele']",1 1/2 
704,"['kakap', 'kembung']",5 5
705,"['kembung', 'bawal']",4 6
706,"['bawal', 'nila', 'kakap']",5 4 4
707,['lele'],10
708,"['kakap', 'kembung']",6 3
709,"['tongkol', 'mas']",5 6
710,['lele'],9
711,"['mas', 'lele']",5 6
712,['lele'],10
713,['lele'],9
714,['lele'],7
715,"['nila', 'bawal', 'kakap']",5 5 5
716,"['mas', 'mujaer']",6 4
717,"['mas', 'mujaer', 'tongkol']",4 3 3
718,"['tongkol', 'mas']",4 4
719,"['tongkol', 'mujaer', 'mas', 'nila']",2   2    2  2  
720,"['tongkol', 'kembung', 'lele', 'kakap']",2  2  2  2 
721,"['mas', 'tongkol', 'nila']",2  2  1 
722,"['tongkol', 'mas', 'lele', 'nila']",2  2  2  2  
723,"['mas', 'tongkol', 'lele', 'nila']",2  2  2  2 
724,"['lele', 'kerapu', 'kakap', 'gurame']",3  3  3  3 
725,"['kakap', 'lele', 'tongkol', 'kembung']",2  2  2  3 
726,"['mas', 'tongkol', 'kembung']",2  2  2  
727,"['kakap', 'kembung', 'tongkol', 'lele', 'mujaer']",2  3  3  2  2 
728,"['mas', 'tongkol', 'mujaer', 'lele', 'nila']",2  2  2  2  2  
729,"['tongkol', 'kembung', 'lele']",3  3  2 
730,"['mas', 'nila', 'lele', 'tongkol']",2  2  2  2 
731,"['mas', 'tongkol', 'nila']",2  2  2 
732,"['lele', 'mas', 'mujaer', 'tongkol']",2  2  2  2  
733,['lele'],5 
734,"['kembung', 'tongkol', 'lele', 'kakap']",3  3  2  2 
735,"['tongkol', 'kembung', 'lele', 'kakap', 'nila']",3  3  2  2  2 
736,"['mas', 'mujaer']",5 4
737,"['lele', 'nila']",6 3
738,"['tongkol', 'kakap', 'nila']",5 4 4
739,"['nila', 'bawal', 'lele']",6 5 5
740,"['kakap', 'kembung']",6 3
741,"['tongkol', 'nila']",5 6
742,"['mas', 'mujaer', 'tongkol']",4 5 5
743,['lele'],10
744,['mas'],6 
745,"['mas', 'mujaer', 'nila']",6 4 4
746,"['mas', 'nila', 'kakap']",5 4 4
747,"['mas', 'mujaer']",6 5
748,"['nila', 'lele']",5 t
749,"['mas', 'mujaer', 'tongkol']",5 4 4
750,"['mas', 'nila', 'kakap']",5 5 4
751,"['tongkol', 'mas', 'lele']",6 4 4
752,"['mas', 'mujaer']",4 4
753,"['tongkol', 'nila']",5 5
754,"['nila', 'kakap']",5 4
755,"['mas', 'lele', 'tongkol']",5  5  5 
756,"['tongkol', 'lele', 'nila']",6  5  5 
757,"['mas', 'lele']",6  6 
758,"['tongkol', 'lele']",5  7 
759,['lele'],8 
760,"['tongkol', 'lele', 'nila']",7  7  5 
761,['lele'],10  
762,"['tongkol', 'lele']",6  6 
763,"['lele', 'tongkol', 'nila']",7  5  5 
764,"['lele', 'tongkol']",6  6 
765,"['tongkol', 'lele', 'nila', 'mas']",5  6  4  6 
766,"['tongkol', 'lele']",4  5 
767,"['mas', 'lele', 'nila']",5  5  4 
768,"['bawal', 'kakap', 'mas']",5  5  5 
769,"['tongkol', 'lele', 'nila']",6  6  4 
770,"['mas', 'lele', 'nila']",7  7  5 
771,"['tongkol', 'lele']",5  7 
772,['lele'],10  
773,"['tongkol', 'lele', 'nila']",7  7  5 
774,"['mujair', 'nila', 'bawal', 'mas']",6  5  5  7 
775,"['tongkol', 'lele']",7  6 
776,"['tongkol', 'lele', 'nila']",6  6  5 
777,"['mas', 'tongkol']",6  5 
778,"['tongkol', 'lele']",5  5 
779,"['lele', 'tongkol', 'nila']",7  7  6 
780,"['tongkol', 'lele', 'nila']",6  5  5 
781,"['mas', 'lele', 'bawal']",2 5
782,"['mas', 'mujair']",1-1/2 
783,"['mas', 'lele', 'bawal', 'gurame', 'kerapu']",5-6
784,"['lele', 'nila', 'laut']",2-3
785,['laut'],3-3 5
786,"['mas', 'lele', 'nila', 'merah']",3  
787,"['mas', 'mujair']",1-2
788,['lele'],2-3
789,"['ikn', 'mas', 'mujair']",1-1 5
790,"['mas', 'impun']",1/2  
791,"['mas', 'bawal', 'salem', 'bandeng']",5
792,"['mas', 'bawal']",2
793,['lele'],3
794,"['mas', 'lele', 'nila']",2-3  
795,"['mas', 'dan', 'bawal']",1   masing masing
796,"['mas', 'lele', 'bawal', 'salem']",3
797,['lele'],2-3
798,['laut'],5
799,"['mas', 'lele', 'bawal']",2-3
800,"['mas', 'bawal', 'lele', 'gurame', 'bandeng', 'nila', 'merah']",5-6
801,"['mas', 'dan', 'mujair']",1-2  
802,['laut'],5
803,"['mas', 'lele', 'bawal']",2-3
804,"['mas', 'lele', 'muajir', 'gurame']",3
805,"['lele', 'mujair', 'laut']",2-4  
806,"['mas', 'lele', 'bawal']",3  
807,['lele'],2 
808,"['mas', 'lele']",4 
809,['kele'],3-4  
810,"['mas', 'bawal', 'gurame', 'nila', 'kerapu']",5-6  
811,"['lele', 'tongkol', 'mas', 'nila']",2   2   2  2 
812,"['tongkol', 'nila', 'mas']",3   2   2 
813,"['lele', 'kakap', 'mas', 'nila']",3  3  3  3 
814,"['lele', 'tongkol', 'nila']",3   3   3  
815,"['kakap', 'nila', 'mas', 'tongkol']",2   3   3   3 
816,"['nila', 'mas', 'tongkol']",3   3   3  
817,"['lele', 'mas', 'tongkol']",3   3   3 
818,"['lele', 'tongkol', 'nila']",2   3   2  
819,"['tongkol', 'nila', 'mas']",3  3  3  
820,['mas'],1-2
821,"['mas', 'lele', 'bawal', 'nila', 'bandeng', 'tongkol']",3-5 
822,"['mas', 'lele', 'mujair']",1-2  
823,"['mas', 'tongkol', 'bawal']",2
824,"['mas', 'lele', 'bawal', 'kakap']",4-5
825,"['lele', 'dan', 'mujair']",2
826,['mas'],1
827,"['mas', 'lele', 'mujair']",2-3  
828,"['mas', 'nila', 'bawal']",2-3
829,"['mas', 'dan', 'lele']",2
830,"['mas', 'dan', 'mujair']",2-2 5
831,"['mas', 'bawal', 'nila', 'kakap']",2-3
832,['lele'],2-3
833,"['mas', 'mujair']",2
834,"['mas', 'bawal', 'lele', 'mujair']",5
835,"['mas', 'lele', 'nila', 'merah', 'bawal', 'gurame']",5
836,"['mas', 'lele', 'mujair', 'bawal', 'tongkol']",2-3  
837,['lele'],3  
838,['lele'],4  
839,"['lele', 'nila', 'mas', 'kakap']",2   3 jg 3   2  
840,"['nila', 'mas', 'mujaer']",e  3   3 
841,"['kerapu', 'lele', 'kakap', 'nila']",3  3  3   2 
842,"['lele', 'mas', 'nila']",3  3   3  
843,"['tongkol', 'mas']",3   3  
844,"['lele', 'kembung', 'nila']",3   3   3  
845,['lele'],4  
846,['lele'],4  
847,"['tongkol', 'nila']",3   3  
848,['lele'],5  
849,"['tongkol', 'nila']",3   2  
850,"['lele', 'bawal']",3  3  
851,"['tongkol', 'mas']",3   3  
852,"['kembung', 'lele', 'mas']",3   3  3 
853,"['mas', 'mujaer']",6 4
854,"['mas', 'tongkol']",5 3
855,"['mas', 'mujaer', 'nila']",5 4 4
856,"['tongkol', 'nila', 'lele']",5 4 5
857,['lele'],10
858,"['tongkol', 'nila']",4 4
859,"['tongkol', 'lele', 'bawal']",5 3 5
860,"['mas', 'mujaer', 'tongkol']",5 4 5
861,"['mas', 'mujaer']",5 5
862,['mas'],8
863,"['tongkol', 'nila']",4 5
864,"['mas', 'mujaer', 'tongkol', 'nila']",5 4 4 3
865,"['tongkol', 'bawal', 'nila']",4 4 5
866,"['lele', 'nila', 'tongkol']",4 4 6
867,"['tongkol', 'nila']",5 3
868,"['tngkol', 'nila']",3   2  
869,"['kembung', 'lele']",3   3  
870,"['lele', 'kembung', 'nila']",2   3   2  
871,['lele'],4  
872,"['kembung', 'lele', 'mas']",3   2   2  
873,['lele'],5  
874,"['kembung', 'lele']",3   2  
875,['lele'],4  
876,"['tongkol', 'mas']",2   2 
877,['lele'],4  
878,"['kembung', 'lele']",3   3  
879,"['kembung', 'nila']",3   3  
880,"['lele', 'tongkol', 'nila', 'mas']",5   5   5   5  
881,"['kembung', 'nila']",3   3  
882,['lele'],5  
883,"['tongkol', 'nil']",3   3  
884,['lele'],4  
885,"['gurame', 'nila', 'mas']",4   5   5  
886,['lele'],5  
887,['lele'],5  
888,['lele'],4  
889,"['tongkol', 'nila']",3   3  
890,"['kembung', 'lele', 'nila']",3   3   3  
891,['lele'],5  
892,"['tongkol', 'mas', 'nila']",3   3   3  
893,"['lele', 'nila', 'mas']",3   3    3  
894,['lele'],4  
895,['lele'],5  
896,"['kembung', 'lele']",3   3 
897,"['kembung', 'nila', 'lele']",3   3   3  
898,['lele'],4  
899,"['kembung', 'lele', 'nila']",3   3   3 
900,"['lele', 'mas']",3   3  
901,"['lele', 'kembung']",3   4  
902,"['lele', 'kembung']",2   3  
903,"['kembung', 'lele', 'nila']",3   2   2  
904,"['tongkol', 'nila']",3   3  
905,"['tongkol', 'nila']",3   3  
906,"['tongkol', 'nila']",4   3  
907,"['nila', 'mas']",3   3  
908,['lele'],5  
909,"['lele', 'kembung', 'nila']",3   3   3  
910,"['tongkol', 'nila']",3   3  
911,"['bawal', 'nila', 'mas', 'gurame']",5   4   4   5  
912,"['kembung', 'nila']",4   3  
913,['lele'],5  
914,"['mas', 'mujaer']",6 3
915,"['tongkol', 'nila']",5 3
916,"['mas', 'nila', 'bawal']",5 3 3
917,"['mas', 'mujaer', 'nila']",5 4 4
918,"['mas', 'bawal', 'gurame', 'tongkol', 'nila']",5-6
919,"['mas', 'mujaer', 'lele']",3 3 2
920,['lele'],8
921,['lele'],2
922,"['tongkol', 'bawal', 'nila']",5 3 3
923,"['mas', 'lele', 'nila', 'bawal']",5
924,"['nila', 'lele']",3 5
925,"['mas', 'dan', 'mujair']",2-3
926,"['tongkol', 'mas']",3 5
927,"['mas', 'dan', 'lele']",2
928,['lele'],7
929,"['mas', 'mujaer', 'nila']",5 4 4
930,"['mas', 'lele', 'bawal', 'gurame', 'kerapu']",5
931,"['lele', 'nila']",6 3
932,['lele'],8
933,"['laut', 'dan', 'lele']",3-4
934,['lele'],9
935,"['bawal', 'lele', 'gurame']",3-5
936,"['tongkol', 'mas']",5 4
937,['lele'],2-3
938,['laut'],5-6
939,['laut'],4-5
940,['lele'],2-3
941,"['mas', 'nila']",3-4  
942,"['mas', 'lele', 'mujair']",2  per
943,"['lele', 'laut']",5  
944,['lele'],5  
945,"['mas', 'dan', 'lele', 'nila']",3
946,"['mas', 'lele', 'gurame', 'nila', 'tongkol']",5
947,"['mas', 'gurame', 'dan', 'lele']",4-4 5
948,"['mas', 'dan', 'lele']",2-3  
949,"['mas', 'lele', 'nilem', 'gurame']",3-4
950,"['mas', 'bawal', 'bandeng', 'nila', 'salem']",7-8
951,"['mas', 'dan', 'lele']",2-3
952,['laut'],5
953,['lele'],3
954,['lele'],5
955,"['bawal', 'mas', 'nila']",3-4
956,"['mas', 'lele', 'mujair']",2-3
957,"['bawal', 'gurame', 'salem']",3-4
958,['lele'],2-3
959,['laut'],5-6
960,"['mas', 'lele', 'nila', 'kerapu', 'bawal', 'gurame']",8-9
961,"['lele', 'nila', 'bawal']",4   4   4  
962,['lele'],5  
963,"['tongkol', 'nila']",4   3  
964,"['kembung', 'lele']",4   3  
965,"['kembung', 'nila']",4   3  
966,['lele'],4  
967,"['tongkol', 'mas']",3   3  
968,"['tongkol', 'nila']",3   3  
969,"['kembung', 'lele']",4   3  
970,['lele'],4  
971,"['tongkol', 'nila']",3   3  
972,"['kembung', 'lele']",3   3  
973,"['kembung', 'lele']",3   3  
974,"['tongkol', 'mas']",3   3  
975,['lele'],5  
976,"['tongkol', 'kakap', 'nila']",5 3 3
977,"['lele', 'nila', 'bawal']",4 5 5
978,"['mas', 'mujaer', 'nila']",6 3 3
979,"['mas', 'mujaer', 'lele']",5 4 5
980,"['tongkol', 'kembung']",5 4
981,"['mas', 'mujaer', 'nila', 'bawal']",5 3 5 4
982,"['mas', 'mujaer']",5 5
983,"['mas', 'nila', 'bawal']",4 5 5
984,['lele'],7
985,"['tongkol', 'lele']",5 4
986,"['mas', 'mujaer', 'lele']",3 3 2
987,"['tongkol', 'nila']",5 3
988,"['tongkol', 'lele', 'nila']",4 3 3
989,['lele'],9
990,"['mas', 'mujaer']",3 3
991,"['tongkol', 'nila']",4 3
992,"['mas', 'dan', 'lele', 'nila']",2-3  
993,"['bawal', 'lele', 'mujair', 'nila', 'kerapu']",3
994,"['mas', 'mujair', 'lele']",2-3
995,['lele'],3-4
996,"['mas', 'bawal', 'nila', 'gurame', 'tongkol', 'salem']",5
997,['laut'],6-8
998,['laut'],6-7
999,"['lele', 'mas']",3
1000,['lele'],5
1001,"['lele', 'mas', 'bawal', 'gurame', 'kerapu', 'salem', 'bandeng']",5-7  
1002,['laut'],5-6
1003,['laut'],8-9
1004,"['mas', 'bawal', 'nila']",3-5
1005,"['laut', 'dan', 'lele']",9-10
1006,['laut'],6-7
1007,"['mas', 'tongkol', 'bawal', 'mujair']",5
1008,"['tongkol', 'nila']",4 5
1009,"['nila', 'bawal', 'lele']",5 4 4
1010,"['tongkol', 'bawal', 'lele']",4 4 3
1011,['lele'],8
1012,['lele'],7
1013,"['tongkol', 'nila']",5 5
1014,"['lele', 'tongkol', 'nila']",4 2 6
1015,['lele'],6
1016,['lele'],7
1017,"['mas', 'mujaer']",6 5
1018,['lele'],6
1019,"['tongkol', 'nila', 'bawal', 'kakap']",5 3 3 4
1020,"['mas', 'mujaer', 'nila', 'bawal', 'kakap']",4 3 3 4 3
1021,"['mas', 'mujaer']",5 4
1022,['lele'],9
1023,"['tongkol', 'nila', 'kakap', 'bawal', 'kembung']",5 3 4 3 3
1024,"['mas', 'dan', 'muajir']",2-3 
1025,"['mas', 'bawal', 'lele']",3 
1026,"['tongkol', 'kakap']",5 6
1027,"['mas', 'mujair', 'dan', 'bawal']",3-4
1028,"['kakap', 'lele', 'bawal']",3 4 4
1029,['lele'],5-7 
1030,"['mas', 'mujaer', 'nila']",5 4 4
1031,"['mas', 'mujaer']",5 3
1032,"['mas', 'dan', 'lele', 'mujair']",4  
1033,"['mas', 'lele', 'nila', 'mujaer']",4 4 3 4
1034,"['kerapu', 'etong', 'bawal', 'gurami', 'nila', 'merah']",5-7
1035,"['tongkol', 'kakap']",4 3
1036,['mas'],6
1037,"['mas', 'bawal', 'lele', 'nila', 'merah', 'dan', 'hitam']",5 
1038,"['mas', 'nila']",5 3
1039,"['mas', 'bawal', 'tongkol', 'tenggiri', 'lele']",3-5  
1040,"['nila', 'kakap', 'kembung']",5 3 3
1041,"['mas', 'lele', 'mujair']",3-4 5
1042,"['tongkol', 'bawal']",4 4
1043,"['mas', 'bawal', 'gurame', 'nila', 'lele', 'salem']",5 
1044,"['bawal', 'nila', 'tongkol']",5 3 5
1045,"['mas', 'lele', 'dan', 'mujair']",3  
1046,"['mas', 'bawal', 'mujaer', 'kakap']",5 5 3 4
1047,"['mas', 'lele', 'bawal', 'tongkol', 'salem', 'nila']",5
1048,['tongkol'],5
1049,['lele'],3 
1050,"['mas', 'mujaer']",5 5
1051,"['mas', 'lele', 'bawal', 'mujair']",5
1052,"['tongkol', 'nila']",4 5
1053,"['mas', 'lele', 'tongkol']",4 
